supplementary_table,section,section_row,Item,"Countries or territories, n",n,IRIS code,World Bank country or economy,"Institutions, n",Matched to World Bank,World Bank region,World Bank income group,R&D expenditure (% GDP),R&D year,Researchers per million,Researchers year,≥10-institution subset,Both indicators available,Weighted regression sample,Indicator year,"IRIS-matched countries with R&D value, n","IRIS-matched countries with researcher value, n",Mean IRIS Overall score,Significant (%),Country or territory code,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S5,Contextual data by country,132,,,,SYR,Syrian Arab Republic,3,true,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.04217,2022,139.93785,2022,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,133,,,,TGO,Togo,1,true,Sub-Saharan Africa,Low income,0.22229,2024,57.79402,2024,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,134,,,,THA,Thailand,42,true,East Asia & Pacific,Upper middle income,0.93628,2023,1591.96746,2023,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,135,,,,TTO,Trinidad and Tobago,1,true,Latin America & Caribbean,High income,0.05039,2022,492.71552,2022,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,136,,,,TUN,Tunisia,18,true,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,0.74658,2019,1667.61164,2024,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,137,,,,TUR,Turkiye,151,true,Europe & Central Asia,Upper middle income,1.42224,2023,2644.6573,2023,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,138,,,,TWN,,74,false,,,,,,,true,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,139,,,,TZA,Tanzania,5,true,Sub-Saharan Africa,Lower middle income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,140,,,,UGA,Uganda,8,true,Sub-Saharan Africa,Low income,0.4383,2023,81.30601,2023,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,141,,,,UKR,Ukraine,75,true,Europe & Central Asia,Upper middle income,0.36988,2024,586.07925,2022,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,142,,,,URY,Uruguay,2,true,Latin America & Caribbean,High income,0.70196,2023,937.57039,2024,false,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,143,,,,USA,United States,579,true,North America,High income,3.44716,2023,4937.49441,2022,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,144,,,,UZB,Uzbekistan,29,true,Europe & Central Asia,Lower middle income,0.10416,2024,639.53651,2024,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,145,,,,VEN,"Venezuela, RB",3,true,Latin America & Caribbean,Not classified,,,179.95961,2023,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,146,,,,VNM,Viet Nam,61,true,East Asia & Pacific,Lower middle income,0.41456,2023,836.10677,2023,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,147,,,,XKX,Kosovo,2,true,Europe & Central Asia,Upper middle income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,148,,,,YEM,"Yemen, Rep.",7,true,"Middle East, North Africa, Afghanistan & Pakistan",Low income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,149,,,,ZAF,South Africa,25,true,Sub-Saharan Africa,Upper middle income,0.61479,2022,444.16298,2022,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,150,,,,ZMB,Zambia,2,true,Sub-Saharan Africa,Lower middle income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Contextual data by country,151,,,,ZWE,Zimbabwe,4,true,Sub-Saharan Africa,Lower middle income,,,,,false,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,1,,,,,,,,,,,,,,,,,2015,5,6,,,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Context years,2,,,,,,,,,,,,,,,,,2016,3,2,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,3,,,,,,,,,,,,,,,,,2017,2,4,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,4,,,,,,,,,,,,,,,,,2018,3,3,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,5,,,,,,,,,,,,,,,,,2019,5,4,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,6,,,,,,,,,,,,,,,,,2020,4,3,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,7,,,,,,,,,,,,,,,,,2021,6,5,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,8,,,,,,,,,,,,,,,,,2022,11,15,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,9,,,,,,,,,,,,,,,,,2023,50,45,,,,,,,,,,,,,,,,,,,,,,,
S5,Context years,10,,,,,,,,,,,,,,,,,2024,29,27,,,,,,,,,,,,,,,,,,,,,,,
S5,Unmatched IRIS-WB,1,,,,TWN,,74,,,,,,,,,,,,,,-0.0936891891891892,2.702702702702702,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Unmatched IRIS-WB,2,,,,MUL,,4,,,,,,,,,,,,,,0.40725,25,,,,,,,,,,,,,,,,,,,,,
S5,Unmatched IRIS-WB,3,,,,GLP,,1,,,,,,,,,,,,,,-0.259,0,,,,,,,,,,,,,,,,,,,,,
S5,Unmatched IRIS-WB,4,,,,GUF,,1,,,,,,,,,,,,,,-0.247,0,,,,,,,,,,,,,,,,,,,,,
S5,Unmatched IRIS-WB,5,,,,REU,,1,,,,,,,,,,,,,,-0.279,0,,,,,,,,,,,,,,,,,,,,,
S5,Map matching summary,1,Countries in SCImago IRIS country_summary,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Map matching summary,2,Countries matched with map,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Map matching summary,3,Countries unmatched after correction,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,Unmatched map codes,1,,,,,,4,,,,,,,,,,,,,,0.40725,25,MUL,0.1694999999999999,0.617715886687939,0,25,50,75,6521.5,6501.5,0.3884999999999999,0.8072499999999999,0.33325,1.08975,-0.7020000000000001,0.333,-0.6677500000000001,-0.268,0.078,Supplementary Table S5. Matching of SCImago IRIS countries with World Bank metadata and contextual-data coverage.,"Matching between IRIS country or territory codes and World Bank metadata, availability and years of national research-capacity indicators, coverage of the ≥10-institution analytical subset, complete-case regression inclusion, and geographical map matching.","1. R&D expenditure is World Bank research and development expenditure as a percentage of GDP. | 2. Researcher density is World Bank researchers in R&D per million people. | 3. For each contextual indicator, the most recent non-missing value from 2015 onward was used."
S5,Unmatched map codes,2,,,,,,1,,,,,,,,,,,,,,-0.259,0,GLP,-0.259,,0,100,0,0,1510,1510,-1.075,0.248,0.089,-0.303,0.529,-0.045,-1.4129999999999998,-0.268,-0.515,,,
S5,Unmatched map codes,3,,,,,,1,,,,,,,,,,,,,,-0.247,0,GUF,-0.247,,0,100,0,0,704,704,-0.267,-0.493,-0.421,-0.397,1.875,1.537,-0.929,-0.268,-0.456,,,
S5,Unmatched map codes,4,,,,,,1,,,,,,,,,,,,,,-0.279,0,REU,-0.279,,100,0,0,0,1891,1891,0.524,-0.512,0.111,-0.38,0.255,-0.156,-1.212,-0.268,0.709,,,
