supplementary_table,section,section_row,Predictor,Outcome,n,Spearman rho,95% CI low,95% CI high,Unadjusted P value,Holm-adjusted P value,Predictor 1,Predictor 2,Pearson r,Term,Estimate,Model-based SE,t statistic,P value,Model statistic,Value,Primary estimate,Minimum leave-one-country-out estimate,Maximum leave-one-country-out estimate,Country producing largest absolute change,Excluded country,R&D coefficient,Researcher-density coefficient,Country code,"Institutions, n",Cook's distance,Leverage,Standardized weighted residual,title,description,notes
S6,Regression summary,6,,,,,,,,,,,,,,,,,Model P value,4.50072319774889e-07,,,,,,,,,,,,,,,
S6,Regression summary,7,,,,,,,,,,,,,,,,,"Lower-middle-income countries, n",11,,,,,,,,,,,,,,,
S6,Regression summary,8,,,,,,,,,,,,,,,,,"Upper-middle-income countries, n",15,,,,,,,,,,,,,,,
S6,Regression summary,9,,,,,,,,,,,,,,,,,"High-income countries, n",33,,,,,,,,,,,,,,,
S6,LOO summary,1,,,,,,,,,,,,"R&D expenditure, standardized",,,,,,,-0.119240100424729,-0.150276237986739,-0.0381818146936856,RUS,,,,,,,,,Supplementary Table S6. Country-level associations and conventional weighted regression estimates.,"Prespecified Spearman correlations, Pearson correlations among the three continuous regression predictors, conventional weighted regression, leave-one-country-out estimates, and influence diagnostics.","Correlation CIs use 10,000 country-level bootstrap resamples. | The four prespecified Spearman-test P values were adjusted as one family using the Holm procedure. | The Pearson predictor matrix is a descriptive collinearity diagnostic for the 59 complete-case regression countries. | Only conventional model-based regression standard errors and confidence intervals are reported. | Countries were weighted by their number of represented IRIS institutions."
S6,LOO summary,2,,,,,,,,,,,,"Log researcher density, standardized",,,,,,,-0.175732953396939,-0.259160497760016,-0.0471626881591236,IRQ,,,,,,,,,,,
S6,LOO estimates,1,,,,,,,,,,,,,,,,,,,,,,,CHN,-0.123302727663027,-0.177256355156029,,,,,,Supplementary Table S6. Country-level associations and conventional weighted regression estimates.,"Prespecified Spearman correlations, Pearson correlations among the three continuous regression predictors, conventional weighted regression, leave-one-country-out estimates, and influence diagnostics.","Correlation CIs use 10,000 country-level bootstrap resamples. | The four prespecified Spearman-test P values were adjusted as one family using the Holm procedure. | The Pearson predictor matrix is a descriptive collinearity diagnostic for the 59 complete-case regression countries. | Only conventional model-based regression standard errors and confidence intervals are reported. | Countries were weighted by their number of represented IRIS institutions."
S6,LOO estimates,2,,,,,,,,,,,,,,,,,,,,,,,USA,-0.118759717481229,-0.176351049163451,,,,,,,,
S6,LOO estimates,3,,,,,,,,,,,,,,,,,,,,,,,IND,-0.139402515944268,-0.197353138552318,,,,,,,,
S6,LOO estimates,4,,,,,,,,,,,,,,,,,,,,,,,JPN,-0.132525900205479,-0.170109653019258,,,,,,,,
S6,LOO estimates,5,,,,,,,,,,,,,,,,,,,,,,,RUS,-0.0381818146936856,-0.204553313421382,,,,,,,,
S6,LOO estimates,6,,,,,,,,,,,,,,,,,,,,,,,IRN,-0.130420512575074,-0.161181552302763,,,,,,,,
S6,LOO estimates,7,,,,,,,,,,,,,,,,,,,,,,,FRA,-0.126334529753935,-0.167985842252721,,,,,,,,
S6,LOO estimates,8,,,,,,,,,,,,,,,,,,,,,,,TUR,-0.130861711950112,-0.144940445905855,,,,,,,,
S6,LOO estimates,9,,,,,,,,,,,,,,,,,,,,,,,GBR,-0.117811451015512,-0.176500707954154,,,,,,,,
S6,LOO estimates,10,,,,,,,,,,,,,,,,,,,,,,,DEU,-0.11984764031306,-0.175686422274766,,,,,,,,
S6,LOO estimates,11,,,,,,,,,,,,,,,,,,,,,,,KOR,-0.150276237986739,-0.164973837205126,,,,,,,,
S6,LOO estimates,12,,,,,,,,,,,,,,,,,,,,,,,PAK,-0.115894925497842,-0.182659305015945,,,,,,,,
S6,LOO estimates,13,,,,,,,,,,,,,,,,,,,,,,,IDN,-0.118736510849564,-0.165700488678386,,,,,,,,
S6,LOO estimates,14,,,,,,,,,,,,,,,,,,,,,,,ITA,-0.12608359200916,-0.174113374390885,,,,,,,,
S6,LOO estimates,15,,,,,,,,,,,,,,,,,,,,,,,ESP,-0.127872985806024,-0.170389406034784,,,,,,,,
S6,LOO estimates,16,,,,,,,,,,,,,,,,,,,,,,,IRQ,-0.138301214608824,-0.0471626881591236,,,,,,,,
S6,LOO estimates,17,,,,,,,,,,,,,,,,,,,,,,,UKR,-0.117911463206267,-0.171876647165471,,,,,,,,
S6,LOO estimates,18,,,,,,,,,,,,,,,,,,,,,,,POL,-0.127384422885011,-0.170638854492971,,,,,,,,
S6,LOO estimates,19,,,,,,,,,,,,,,,,,,,,,,,CAN,-0.125438568276878,-0.167485317062557,,,,,,,,
S6,LOO estimates,20,,,,,,,,,,,,,,,,,,,,,,,VNM,-0.117985652781771,-0.181842010651146,,,,,,,,
S6,LOO estimates,21,,,,,,,,,,,,,,,,,,,,,,,EGY,-0.121990674106578,-0.195348951255921,,,,,,,,
S6,LOO estimates,22,,,,,,,,,,,,,,,,,,,,,,,MEX,-0.118428678160638,-0.1945508323111,,,,,,,,
S6,LOO estimates,23,,,,,,,,,,,,,,,,,,,,,,,COL,-0.115486891484541,-0.186693179950281,,,,,,,,
S6,LOO estimates,24,,,,,,,,,,,,,,,,,,,,,,,DZA,-0.12133224380994,-0.172424779087176,,,,,,,,
S6,LOO estimates,25,,,,,,,,,,,,,,,,,,,,,,,CHL,-0.12535606396971,-0.190731550004968,,,,,,,,
S6,LOO estimates,26,,,,,,,,,,,,,,,,,,,,,,,MYS,-0.12079094922884,-0.175797995128615,,,,,,,,
S6,LOO estimates,27,,,,,,,,,,,,,,,,,,,,,,,NGA,-0.0750015875651652,-0.259160497760016,,,,,,,,
S6,LOO estimates,28,,,,,,,,,,,,,,,,,,,,,,,PRT,-0.114956655063822,-0.182717763438731,,,,,,,,
S6,LOO estimates,29,,,,,,,,,,,,,,,,,,,,,,,SAU,-0.109660477384823,-0.165807249548705,,,,,,,,
