supplementary_table,section,section_row,Country or territory code,"Institutions, n",Mean IRIS Overall score,Median IRIS Overall score,SD IRIS Overall score,Very low (%),Low (%),Medium (%),Significant (%),Medium or significant (%),Mean scientific output,Median scientific output,Mean multi-affiliation,Mean retracted output,Mean self-citation,Mean discontinued journals output,Mean hyperauthored output,Mean leadership impact gap,Mean hyperprolific authors,Mean institutional journal output,Mean redundant output,title,description,notes
S2,Country summary,1,CHN,723,0.0263679114799446,-0.113,0.5420563750765639,23.513139695712308,42.87690179806362,29.460580912863072,4.149377593360995,33.60995850622407,9031.065006915627,3143,0.3476846473029045,0.2165726141078838,-0.4550290456431535,0.5759529737206086,-0.9799986168741356,-0.42550622406639,-0.5742517289073306,-0.1965408022130014,-0.3688713692946058,Supplementary Table S2. Country-level summary of the SCImago IRIS dataset.,"Country- and territory-level counts, descriptive statistics for the IRIS Overall score, distribution across IRIS structural risk categories, scientific output, and means of the nine individual IRIS indicators.",1. The table includes all 151 country or territory codes represented in the institution-level dataset. | 2. Percentages use all IRIS institutions represented for the corresponding country or territory as the denominator. | 3. Country comparisons in the main manuscript were restricted to countries represented by at least 10 institutions.
S2,Country summary,2,USA,579,-0.2330932642487046,-0.289,0.3216680276410049,55.26770293609672,32.12435233160622,11.398963730569948,1.208981001727116,12.607944732297064,8697.298791018999,2059,-0.5420310880829016,-0.0501485319516407,-0.7340501730103807,-0.3372124352331606,0.1318272884283247,0.4831571675302245,-0.720908462867012,-0.2349948186528497,0.101929188255613,,,
S2,Country summary,3,IND,519,0.1744913294797687,0.019,0.6797320981907338,21.57996146435453,27.167630057803464,44.1233140655106,7.129094412331407,51.252408477842,2857.1830443159924,1548,-0.9316531791907514,0.3728959537572254,0.1843275529865125,1.2453410404624277,-1.1050944123314066,-0.2367244701348747,-0.4490944123314065,-0.23278612716763,0.6560944123314065,,,
S2,Country summary,4,JPN,179,-0.0186424581005586,-0.1,0.4583407735561349,22.3463687150838,43.01675977653631,32.402234636871505,2.23463687150838,34.63687150837989,4890.083798882682,2682,-0.3243351955307262,-0.130340782122905,0.2175251396648044,-0.2739664804469274,0.7267765363128491,0.9188324022346368,-0.2848826815642458,-0.1965083798882681,1.254949720670391,,,
S2,Country summary,5,BRA,169,-0.0784023668639053,-0.161,0.5344395186005463,27.810650887573964,47.33727810650888,23.66863905325444,1.183431952662722,24.85207100591716,4002.621301775148,1377,0.6635798816568047,-0.0619644970414201,0.0018165680473372,-0.0958224852071006,-0.3770532544378698,0.1561005917159763,-0.9666213017751478,0.1665147928994082,-0.3208698224852071,,,
S2,Country summary,6,RUS,168,0.6095297619047619,0.4595,0.570344206667329,0.5952380952380952,7.738095238095238,75.59523809523809,16.071428571428573,91.66666666666666,2963.535714285714,1409,-0.1011130952380952,0.1024523809523809,3.529940476190476,1.4758809523809524,-0.7268630952380952,0.2590714285714285,-0.9405059523809522,0.5727440476190476,3.5491964285714284,,,
S2,Country summary,7,IRN,166,0.1810542168674698,0.0225,0.6115718274029792,22.89156626506024,26.506024096385545,43.97590361445783,6.626506024096386,50.60240963855421,3286.1385542168678,1767.5,-0.7317530120481928,1.0209939759036144,-0.4195240963855421,0.168830303030303,-0.9275301204819276,0.4828614457831325,-0.6209879518072289,0.3109819277108434,-0.227210843373494,,,
S2,Country summary,8,FRA,151,-0.1783245033112583,-0.229,0.2561787019424494,39.0728476821192,40.397350993377486,20.52980132450331,0,20.52980132450331,6414.317880794702,3124,0.7597549668874172,-0.1894304635761589,-0.3627218543046357,-0.423476821192053,-0.0218807947019867,0.0281655629139072,-0.917549668874172,-0.2255033112582781,0.3881258278145695,,,
S2,Country summary,9,TUR,151,-0.1035960264900662,-0.224,0.3804473012793922,42.3841059602649,25.165562913907287,31.78807947019868,0.6622516556291391,32.450331125827816,3114.907284768212,2153,-0.4066490066225166,-0.1380331125827814,-0.098682119205298,0.2700596026490066,-0.0304569536423841,-0.2009801324503311,-0.4218940397350992,-0.0838344370860927,-0.1681788079470199,,,
S2,Country summary,10,GBR,130,-0.1878461538461538,-0.2295,0.3475236305955348,41.53846153846154,45.38461538461539,12.307692307692308,0.7692307692307693,13.076923076923078,10690.853846153846,4713,0.3204692307692308,-0.0131615384615384,-0.814976923076923,-0.3635923076923077,-0.1025307692307692,0.0314923076923076,-0.5960153846153846,-0.2577461538461538,-0.2703615384615385,,,
