id,institution,country,sir_rank,overall,risk,output,multi_affiliation,retracted_output,self_citation,discontinued_journals_output,hyperauthored_output,leadership_impact_gap,hyperprolific_authors,institutional_journal_output,redundant_output,multi_affiliation_w,retracted_output_w,self_citation_w,discontinued_journals_output_w,hyperauthored_output_w,leadership_impact_gap_w,hyperprolific_authors_w,institutional_journal_output_w,redundant_output_w,cluster_raw,mean_overall,profile
8987,Quy Nhon University,VNM,8599,0.055,medium,497,0.28300000000000003,-0.493,-0.694,2.293,-1.108,-0.33299999999999996,-1.4129999999999998,-0.268,-0.187,0.28300000000000003,-0.493,-0.694,2.293,-1.108,-0.33299999999999996,-1.4129999999999998,-0.268,-0.187,1,-0.12721371216800495,Profile 1
795,Universidade do Vale do Itajai,BRA,8599,-0.14800000000000002,low,967,0.743,-0.34299999999999997,-0.254,1.021,-0.522,-1.149,-1.4129999999999998,-0.268,-1.1860000000000002,0.743,-0.34299999999999997,-0.254,1.021,-0.522,-1.149,-1.4129999999999998,-0.268,-1.1860000000000002,1,-0.12721371216800495,Profile 1
8614,Sumy National Agrarian University,UKR,8604,0.8530000000000001,medium,1067,0.5720000000000001,-0.09,2.8409999999999997,3.8119999999999994,-0.14900000000000002,-0.446,-1.4129999999999998,-0.268,2.3259999999999996,0.5720000000000001,-0.09,2.8409999999999997,3.8119999999999994,-0.14900000000000002,-0.446,-1.4129999999999998,-0.268,2.3259999999999996,5,0.749297836938436,Profile 4
98630,Wuzhou University,CHN,8605,5.318,significant,668,1.295,16.75,2.11,1.332,-1.11,-2.501,-0.352,-0.268,0.6869999999999999,1.295,7.25025000000003,2.11,1.332,-1.11,-2.501,-0.352,-0.268,0.6869999999999999,3,2.2563982300884957,Profile 5
1542,Shenyang Ligong University,CHN,8605,-0.305,very low,2741,-0.8570000000000001,-0.024,-0.403,-0.05,-1.277,0.42400000000000004,-1.1260000000000001,-0.268,-0.004,-0.8570000000000001,-0.024,-0.403,-0.05,-1.277,0.42400000000000004,-1.1260000000000001,-0.268,-0.004,1,-0.12721371216800495,Profile 1
4741,Egerton University,KEN,8605,0.64,medium,773,-0.034,2.9719999999999995,-1.122,-0.14,-0.396,1.016,-1.4129999999999998,-0.268,-0.53,-0.034,2.9719999999999995,-1.122,-0.14,-0.396,1.016,-1.4129999999999998,-0.268,-0.53,3,2.2563982300884957,Profile 5
97043,Chennai Institute of Technology,IND,8605,0.5760000000000001,medium,2333,-0.891,-0.493,0.33099999999999996,2.343,-1.359,0.10800000000000001,1.8880000000000001,-0.268,4.581,-0.891,-0.493,0.33099999999999996,2.343,-1.359,0.10800000000000001,1.8880000000000001,-0.268,4.581,5,0.749297836938436,Profile 4
97187,Central University of Jharkhand,IND,8605,-0.442,very low,1087,-1.2189999999999999,-0.447,0.42100000000000004,0.368,-1.021,-1.019,-0.93,-0.268,-1.1860000000000002,-1.2189999999999999,-0.447,0.42100000000000004,0.368,-1.021,-1.019,-0.93,-0.268,-1.1860000000000002,1,-0.12721371216800495,Profile 1
3283,Devi Ahilya University,IND,8605,-0.276,very low,1055,-1.141,-0.28700000000000003,0.97,1.039,-1.332,-1.2329999999999999,-1.4129999999999998,-0.268,-0.712,-1.141,-0.28700000000000003,0.97,1.039,-1.332,-1.2329999999999999,-1.4129999999999998,-0.268,-0.712,1,-0.12721371216800495,Profile 1
880,Universidade Regional do Cariri,BRA,8613,0.322,medium,1230,0.9450000000000001,-0.54,2.07,0.092,0.29700000000000004,-0.329,3.142,-0.268,-0.366,0.9450000000000001,-0.54,2.07,0.092,0.29700000000000004,-0.329,3.142,-0.268,-0.366,2,0.05370313757039421,Profile 2
1404,Inner Mongolia University of Science and Technology,CHN,8613,-0.34299999999999997,very low,4426,0.715,-0.43700000000000006,0.082,-0.038,-1.2309999999999999,-0.884,-0.989,-0.268,-0.96,0.715,-0.43700000000000006,0.082,-0.038,-1.2309999999999999,-0.884,-0.989,-0.268,-0.96,1,-0.12721371216800495,Profile 1
1009,Royal Roads University,CAN,8613,-0.42100000000000004,very low,534,0.043000000000000003,-0.024,-0.491,-0.545,-0.6729999999999999,-1.4609999999999999,-1.4129999999999998,-0.268,-0.195,0.043000000000000003,-0.024,-0.491,-0.545,-0.6729999999999999,-1.4609999999999999,-1.4129999999999998,-0.268,-0.195,1,-0.12721371216800495,Profile 1
6426,Universidad Nacional Federico Villarreal,PER,8613,0.46,medium,1065,0.272,-0.118,1.847,3.084,-0.74,0.006,-1.4129999999999998,-0.268,-0.714,0.272,-0.118,1.847,3.084,-0.74,0.006,-1.4129999999999998,-0.268,-0.714,5,0.749297836938436,Profile 4
96178,Sardar Vallabhbhai National Institute of Technology,IND,8613,-0.32,very low,4823,-1.406,-0.503,1.58,0.386,-1.295,-1.35,-0.654,-0.268,0.801,-1.406,-0.503,1.58,0.386,-1.295,-1.35,-0.654,-0.268,0.801,1,-0.12721371216800495,Profile 1
