supplementary_table,section,section_row,Model,"Institutions, n","Countries, n",Marginal R²,Conditional R²,Adjusted ICC,Income-group reference,Term,Estimate,SE,z statistic,P value,95% CI low,95% CI high,Random component,Variance,SD,Status in primary model,Institution ID,Institution,Country code,IRIS Overall score,Retracted output,title,description,notes
S7,Sensitivity fixed effects,7,Excluding verified maximum Overall score,,,,,,Low income,Upper-middle-income group,0.6112825991566878,0.21872883351523983,2.7947051576723054,0.00519470683803367,0.18257408546681775,1.039991112846558,,,,,,,,,,,,
S7,Sensitivity fixed effects,8,Excluding verified maximum Overall score,,,,,,Low income,High-income group,0.4976384868129462,0.23609983836559492,2.107745986858174,0.035052967178243064,0.03488280361638019,0.9603941700095122,,,,,,,,,,,,
S7,Sensitivity fixed effects,9,Countries represented by at least 10 institutions,,,,,,Lower middle income,(Intercept),0.16164772329296195,0.12522045052359282,1.2909051406304106,0.19673657265148992,-0.08378435973327997,0.4070798063192039,,,,,,,,,,,,
S7,Sensitivity fixed effects,10,Countries represented by at least 10 institutions,,,,,,Lower middle income,"Log scientific output, standardized",-0.026257820103792833,0.015660989284500833,-1.6766386609931045,0.0936131619224363,-0.05695335910141447,0.004437718893828799,,,,,,,,,,,,
S7,Sensitivity fixed effects,11,Countries represented by at least 10 institutions,,,,,,Lower middle income,"Log SIR Rank, standardized",-0.006760579081760315,0.016110742243683487,-0.41963175746362175,0.6747544850003457,-0.038337633879379954,0.02481647571585932,,,,,,,,,,,,
S7,Sensitivity fixed effects,12,Countries represented by at least 10 institutions,,,,,,Lower middle income,"R&D expenditure, standardized",-0.1839361995572675,0.07195500069767352,-2.5562670804506658,0.01058018767058276,-0.32496800092470757,-0.042904398189827414,,,,,,,,,,,,
S7,Sensitivity fixed effects,13,Countries represented by at least 10 institutions,,,,,,Lower middle income,"Log researcher density, standardized",-0.054778878599488295,0.07533808530953676,-0.7271073902983044,0.46716017185687153,-0.20244152580618033,0.09288376860720374,,,,,,,,,,,,
S7,Sensitivity fixed effects,14,Countries represented by at least 10 institutions,,,,,,Lower middle income,Upper-middle-income group,0.08218470578444256,0.1352544318952093,0.6076304090953306,0.5434326276817014,-0.18291398073016765,0.3472833922990528,,,,,,,,,,,,
S7,Sensitivity fixed effects,15,Countries represented by at least 10 institutions,,,,,,Lower middle income,High-income group,-0.05983682844620321,0.16264400299745072,-0.36790061326233525,0.7129473429401827,-0.3786190743212066,0.25894541742880023,,,,,,,,,,,,
S7,Random effects,1,Primary complete-case model,,,,,,,,,,,,,,Country random intercept,2.834963960733235,1.6837351219040466,,,,,,,"Supplementary Table S7. Multilevel model estimates, model fit, and influence sensitivity analyses.",Primary institution-level random-intercept model and sensitivity analyses excluding the verified maximum IRIS Overall score and restricting the sample to countries represented by at least 10 institutions.,"1. The primary model retained the institution with IRIS Overall = 37.599 because the value was verified against the source and was not a data error. | 2. Fixed effects included standardized log scientific output, standardized log SIR Rank, standardized R&D expenditure, standardized log researcher density, and World Bank income group. | 3. All models used a random intercept for country and maximum-likelihood estimation. | 4. The restricted ≥10-institution model used lower-middle income as the reference because no low-income country remained in that complete-case sample."
S7,Random effects,2,Primary complete-case model,,,,,,,,,,,,,,Residual,0.5035854911658814,0.7096375773349952,,,,,,,,,
S7,Random effects,3,Excluding verified maximum Overall score,,,,,,,,,,,,,,Country random intercept,0.0889065533486569,0.2981720197279699,,,,,,,,,
S7,Random effects,4,Excluding verified maximum Overall score,,,,,,,,,,,,,,Residual,0.36377986205616747,0.603141660023719,,,,,,,,,
S7,Random effects,5,Countries represented by at least 10 institutions,,,,,,,,,,,,,,Country random intercept,0.09439438244285324,0.30723668798314635,,,,,,,,,
S7,Random effects,6,Countries represented by at least 10 institutions,,,,,,,,,,,,,,Residual,0.35559499163291775,0.59631786123922,,,,,,,,,
S7,Influential observation,1,,,,,,,,,,,,,,,,,,Verified maximum; retained in the primary model,3194,Universidad Tecnologica Centroamericana,HND,37.599,122.964,"Supplementary Table S7. Multilevel model estimates, model fit, and influence sensitivity analyses.",Primary institution-level random-intercept model and sensitivity analyses excluding the verified maximum IRIS Overall score and restricting the sample to countries represented by at least 10 institutions.,"1. The primary model retained the institution with IRIS Overall = 37.599 because the value was verified against the source and was not a data error. | 2. Fixed effects included standardized log scientific output, standardized log SIR Rank, standardized R&D expenditure, standardized log researcher density, and World Bank income group. | 3. All models used a random intercept for country and maximum-likelihood estimation. | 4. The restricted ≥10-institution model used lower-middle income as the reference because no low-income country remained in that complete-case sample."
S7,Influential observation,2,,,,,,,,,,,,,,,,,,Second-highest IRIS Overall score,92459,Ibn Sina National College for Medical Studies,SAU,10.52,34.999,,,
